Column,Description,Sample
FUNCTION_TYPE,"GDOT route function code identifying whether the segment is mainline, ramp, frontage road, collector-distributor, alley, or another facility type.",1
SYSTEM_CODE,"GDOT system code identifying whether the segment belongs to the state highway system, public road network, private road system, federal route system, ramp system, or collector-distributor system.",1
DIRECTION,"Direction of increasing milepoints along the route calibration, typically INC or DEC.",INC
ROUTE_ID,Official 16-character GDOT route identifier used to key the segment in the state linear referencing system.,1000100002900INC
FROM_MILEPOINT,Beginning milepoint of the staged segment along the route.,0.0
TO_MILEPOINT,Ending milepoint of the staged segment along the route.,26.8308
COUNTY_ID,Primary county code assigned to the segment after route parsing and spatial backfill.,209.0
FACILITY_TYPE,"Facility type code describing whether the segment is two-way, one-way, ramp, non-mainline, or planned.",2.0
FUNCTIONAL_CLASS,FHWA functional classification code for the segment.,4.0
NUM_LANES,Number of through travel lanes on the roadway segment.,2.0
LANE_WIDTH,"Typical width of a through lane on the segment, in feet.",
MEDIAN_TYPE,Median type code describing the separation between directions of travel.,
MEDIAN_WIDTH,"Median width for divided roadways, in feet.",
SHOULDER_TYPE,Shoulder type code describing the shoulder surface or curb condition.,
SHOULDER_WIDTH_L,"Left shoulder width, in feet, referenced to the route calibration direction.",
SHOULDER_WIDTH_R,"Right shoulder width, in feet, referenced to the route calibration direction.",
OWNERSHIP,Ownership or jurisdiction code for the agency responsible for the roadway.,1.0
STRAHNET,STRAHNET code indicating whether the segment is on the Strategic Highway Network or a connector.,
NHS_IND,National Highway System indicator code for the segment.,
SURFACE_TYPE,Pavement surface type code for the roadway segment.,
URBAN_CODE,Urban area code identifying the FHWA urbanized or rural area assignment.,99999.0
COUNTY_CODE,Zero-padded 3-digit county code assigned to the segment.,209
DISTRICT,GDOT district number assigned to the segment based on county or spatial backfill.,5.0
ROUTE_NUMBER,Route number parsed from ROUTE_ID and retained as a numeric field.,29
ROUTE_SUFFIX,"Two-character GDOT route suffix identifying a branch, business, spur, loop, or other subtype.",00
BASE_ROUTE_NUMBER,"Base route number used to classify the segment into Interstate, U.S. Route, or State Route families.",29
ROUTE_SUFFIX_LABEL,"Human-readable meaning of ROUTE_SUFFIX, such as business, bypass, spur, or loop, when available.",
ROUTE_FAMILY,"Broad route family assigned from GDOT route structure, such as Interstate, U.S. Route, State Route, or Local/Other.",U.S. Route
ROUTE_FAMILY_DETAIL,"More specific route family description that incorporates the route subtype, function type, or suffix.",U.S. Route
ROUTE_FAMILY_CONFIDENCE,Confidence level assigned to the ROUTE_FAMILY classification.,medium
ROUTE_FAMILY_SOURCE,Rule or source used to derive ROUTE_FAMILY.,gdot_appendix_g_us_route
unique_id,Unique staged segment identifier built from ROUTE_ID plus beginning and ending milepoints.,1000100002900INC_0.0000_26.8308
AADT,"Canonical current AADT (2024) for the segment, chosen by tie-breaker priority: state 2024 GDB > HPMS 2024 federal submission > pipeline-derived fill (direction mirror, analytical interpolation, nearest neighbor).",5500.0
AADT_2024_OFFICIAL,"Audit-trail field for the state 2024 GDB match: GDOT-matched 2024 AADT before any pipeline-derived fill (mirror, interpolation, nearest neighbor). Null when the state 2024 GDB had no matching record.",
AADT_2024_SOURCE,"Source that won the canonical AADT for this segment. official_exact = state 2024 GDB; hpms_2024 = GDOT's HPMS federal submission (a parallel GDOT-official source, not a fallback — particularly important for federally-reportable segments outside the state 2024 GDB scope); direction_mirror / analytical_gap_fill / nearest_neighbor = pipeline-derived fill.",hpms_2024
AADT_2024_CONFIDENCE,"Confidence tier for AADT_2024 (semantics updated in the 2024 hygiene pass): high = Statistics_Type Actual OR state and HPMS sources agree; medium = Statistics_Type Estimated/Calculated OR single-source GDOT-official with no disagreement; low = pipeline-derived (direction_mirror, analytical_gap_fill, nearest_neighbor) OR sources disagree; missing = no value. Note: previously direction_mirror was tagged high and analytical_gap_fill was medium — both are now low.",medium
AADT_2024_FILL_METHOD,Method used to populate the current AADT when a direct state 2024 GDB match was not available.,hpms_route_id_milepoint_match
